step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,4,120.74852029830217,2.890956295768478,117.42340531349183,124.45993353128434,0.0,0.0,0.0,0.0
12000,4,115.45895167440176,27.120799211467528,90.92530068159104,149.9026752233505,0.0,0.0,0.0,0.0
18000,4,120.91249190270901,29.033634838324403,81.78097944259643,151.5347779273987,0.0,0.0,0.0,0.0
24000,4,202.16923629343512,107.66674325808646,114.85254969596863,359.2592317223549,0.05,0.10000000000000002,0.0,0.2
30000,4,151.43763371258973,30.70374266541136,124.76548212766647,186.60463951230048,0.05,0.10000000000000002,0.0,0.2
36000,4,160.1657648861408,74.79024830293066,99.63539066314698,266.05428160429,0.1,0.20000000000000004,0.0,0.4
42000,4,131.73892916440963,42.787068176335,72.62829352617264,166.11080957651137,0.0,0.0,0.0,0.0
48000,4,499.4348524138332,693.2482662221144,132.92080653905867,1538.984333407879,0.15000000000000002,0.30000000000000004,0.0,0.6000000000000001
54000,4,790.5113434404134,729.4915253425936,240.68368632793425,1844.4265955924989,0.39999999999999997,0.282842712474619,0.2,0.8
60000,4,805.5909152150155,713.1787841457619,171.36586453914643,1804.2724666714669,0.5,0.38297084310253526,0.0,0.8
66000,4,776.4649969145655,764.9401311909203,148.84399458169938,1882.5778294026852,0.4,0.28284271247461906,0.2,0.8
72000,4,909.162444896996,488.9129600455655,233.80573622584342,1350.2012712001801,0.6000000000000001,0.282842712474619,0.2,0.8
78000,4,1362.7934945315124,887.8912190417417,369.75954587459563,2207.1710215687754,0.65,0.41231056256176607,0.2,1.0
84000,4,1242.9090459629892,575.9112531944054,720.0708497405052,1887.292331290245,0.6500000000000001,0.19148542155126763,0.4,0.8
90000,4,1530.042418152094,480.01221741016445,919.7222536206245,1948.9530001342296,0.8,0.0,0.8,0.8
96000,4,1267.563928823173,677.5784373577291,535.8204425930977,1862.5297154068946,0.65,0.30000000000000004,0.4,1.0
102000,4,1420.6796854019167,752.3039200564282,487.52774008512495,2322.9988444924356,0.65,0.30000000000000004,0.2,0.8
108000,4,1037.2158515825868,634.8687122679765,642.1612816989422,1985.5094677448274,0.65,0.34156502553198664,0.2,1.0
114000,4,1341.0866440035402,506.05527640267775,886.3641676872969,2017.2039576888085,0.8500000000000001,0.19148542155126758,0.6000000000000001,1.0
120000,4,1565.6895497150717,397.37784358786195,1145.6503307700157,2032.7048454642295,0.8,0.16329931618554516,0.6000000000000001,1.0
126000,4,1332.0071596220137,439.21153752895776,777.8461838483811,1820.0260622501373,0.75,0.3,0.4,1.0
132000,4,1605.3880265966059,672.4321172066144,968.4611742854119,2274.7480852484705,0.7,0.34641016151377546,0.4,1.0
138000,4,1555.3425652101635,226.32378476855618,1400.074729782343,1884.4331887722014,0.65,0.09999999999999998,0.6000000000000001,0.8
144000,4,1510.4751138798895,597.4350144592776,891.0503031969071,2321.4757446527483,0.65,0.2516611478423583,0.4,1.0
